昵称,地区,时间,评论
三亿少女的梦,安徽,2024-07-22 22:19:29,会是会了，麻烦雷总送台车让我好好在学习学习[看]
星仔666,广东,2024-07-22 13:05:42,这张真帅[得意]
路路商行,青海,2024-08-25 16:14:27,雷总你车如果坏了会不会扣标
7k7k国服玩家,福建,2024-07-22 12:56:58,雷总可以坐副驾驶亲自教我吗[玫瑰]
这些年来,江苏,2024-07-22 23:39:29,贵公司还招保安么？我想去
點点懷念,江苏,2024-08-20 20:47:20,雷总能不能进军医疗，把医疗费打下来
脑袋困🇵🇸,青海,2024-08-27 19:01:57,帥
用户2800358930218,河北,2024-08-26 08:13:38,雷总这个车是不是东拼西凑出来的
故暮,河南,2024-07-22 12:28:18,雷总 把羽毛球价格打下来吧
勿忘心安,江苏,2024-07-22 16:55:01,雷总，我漂的怎么不一样！
莫听穿林打叶声,山东,2024-07-22 16:49:59,漂完了，免费给换胎吗？
邀月,浙江,2024-07-22 16:40:29,"我不介意这样推广[尬笑]
你这样推广的话，很多人会去学，而且他们又不专业，会造成很多的交通事故"
广东怀集寰宇（刷ka🐔）,广东,2024-07-22 16:35:48,[舔屏][舔屏][舔屏]
Kg1943,江苏,2024-07-22 16:25:24,雷老板，我需要这些配置，下车就有大米饭吃[呲牙]
21225048055,广东,2024-07-22 16:13:38,爸我想给您养老
她爱笑牙还黄,广西,2024-07-22 16:01:24,刷到雷军视频手机就给我推小米手机信息？
潘奕博 听三舅故事加群,辽宁,2024-07-22 15:57:48,雷总，我知道您有孩子，但是我还是想给您养老，爸爸
夜。。。。。,湖北,2024-07-22 15:54:08,雷总，刚学你，感觉还不错[逞强落泪]
暴躁老吴（分享版）,湖北,2024-07-22 15:52:17,如果你把这个头像换成我的头像我就买一辆[嘘][嘘][嘘]
星空总在闪耀,湖北,2024-07-22 15:49:55,雷总，考虑一下研发这个呗[灵机一动]
听℡说,江苏,2024-07-22 15:37:55,爸 您这个暂时买不起，只能支持这个[泪奔][泪奔][泪奔]
青衿,广西,2024-07-22 15:12:48,雷总真听话
💦行尽江南💦,山东,2024-07-22 15:10:58,军，姐我也想学漂移[做鬼脸]
蜂子宾,山东,2024-07-22 14:46:37,怀念当初漂移的日子[得意]
腹肌掠夺者,新疆,2024-07-22 14:42:21,小米卫生巾啥时候安排？？
Abrine,江苏,2024-07-22 14:29:24,雷总，是电车还是油车[调皮][调皮]
🌈不要甩麦架啦🌈,湖南,2024-07-22 14:20:19,雷老师，听说你要去薛之谦演唱会当嘉宾是真的嘛[可怜]
「雨落」,河南,2024-07-22 14:11:33,雷总对这张照片也是满意至极啊！[呲牙][呲牙][呲牙]
不再熬夜(全天emo4.0版),河北,2024-07-22 14:03:51,爸，我会了，车呢
用户12587,北京,2024-07-22 13:59:33,雷总事已至此您看小米卫生巾 安睡裤 护垫 暖宫腰带[调皮][OK]怎么样
于安,江苏,2024-07-22 13:56:41,雷总 想要小米戒指[流泪]
Magic Bear🐻,广东,2024-07-22 13:44:17,雷总可以用来当壁纸吗[看][看]
Mrྀ崔,河南,2024-07-22 13:26:33,头像刚刚换咯
心寄山河锦绣,山东,2024-07-22 12:56:11,雷总，我想要这个
李珞珩（见过魏大勋版）,河北,2024-07-22 12:51:16,雷叔叔，请问怎么用小米14刷学校门禁啊？
悬溺影视,广东,2024-07-22 12:49:16,雷总你要是觉得帅就换个头像[灵机一动]
管哥,安徽,2024-07-22 12:46:53,做车压力是不是很大[泪奔]这几个月憔悴了
一杯热美式♡,广东,2024-07-22 12:37:59,小米卫生巾！名字都想好了叫小米巨能吸！！！
🥚王,安徽,2024-07-22 12:17:20,卢伟冰：开会见，记得想我[色][色]
买辣椒也要卷,广东,2024-07-22 12:08:30,爸，我给你跪下了
圈子要睡觉,山东,2024-08-07 10:15:17,雷总，如果你用这个照片当头像，就送我一辆小米su7[看][看][看]
小新没蜡笔🏸,河南,2024-07-28 18:13:36,好帅啊，忘不了雷总这张照片
小宇@,浙江,2024-07-28 11:33:36,你好，雷总，我在你们这买了个手机，k70至尊版，第二天就出现死机，卡屏指纹不解锁的问题，现在给你们寄回总部了，你们总部来一句检测无问题，要给我寄回来，那我说寄回来还出现这个问题，怎么办？能不能保证不出问题，说是保证不了，你说是你，你能接受吗？
ʕ̯•͡˔•̯᷅ʔ°゜,江苏,2024-07-26 22:25:41,雷总 有没有兴趣进军一下小说领域
傻子的手绘画,广东,2024-07-24 22:11:07,小米是怎么招到雷军这样的人才的？
远道（现居洛杉矶）,河南,2024-07-23 22:55:45,祝雷总年入百万[比心]
浪花一朵朵,北京,2024-07-23 22:22:52,雷总，你换了这张图片做头像，我已经买了小米SU 7
脑韧,广东,2024-07-23 19:44:09,雷总能不能进军医疗行业啊，我家有两位四十来岁的高血压患者，有一位已经因高血压离世了，现在还有一位老人被降压药的副作用一直影响着，主要想降压药副作用没那么大就行。
勇哥-运营魔帝,广东,2024-07-23 15:23:36,军儿，这种教学还是少拍，像我这种比较爱模仿的就很惨[微笑]
蒋guoguo,云南,2024-07-23 15:05:07,如果我用这个当头像，雷总会不会送我一辆[害羞]
吃屁么,江西,2024-07-23 12:29:37,军儿，如果你用这个照片当头像，你就给我买一辆小米su7[OK]
空白↘°Silvery|▍,山东,2024-07-23 11:31:04,雷军也是好起来了，都接上小米的广子了[赞]
幸福的味道,浙江,2024-07-23 10:33:36,雷哥，已经不给你站牌了，我也走逆袭之路[笑哭][笑哭][笑哭]
叶辰在南昌,江西,2024-07-23 09:42:17,军儿，如果你用这个照片当头像，我就买一辆小米su7[OK]
小小牛牛,四川,2024-07-23 09:14:50,军，如果你用这个照片当头像，我就买一辆小米su7[OK]
菏泽  文博💥((🔥⥎🔥))💥,山东,2024-07-23 00:55:49,祝雷总年薪百万
HG大师兄🎣,广东,2024-07-23 00:42:47,头像已换[比心][比心][比心] 准备入手小米su7
哒步六,湖北,2024-07-23 00:39:16,雷总 想要这个[比心][比心][比心][比心][流泪][流泪][流泪][流泪][流泪]
赣州飞哥汽车,江西,2024-07-22 23:39:27,雷总[比心]军儿，如果你用这个照片当头像，我就买两辆小米su7[OK]
🌈半生风雨,广东,2024-07-22 23:38:21,雷总，一楼那小子下单了没有？？？
我的天呐,内蒙古,2024-07-22 23:27:35,军儿，这个加多少水能熬成粥
泪水打湿豆豆鞋,云南,2024-07-22 23:03:32,好好好漂移是吧
顾九思,安徽,2024-07-22 21:58:48,雷总我想看这个👇🏻[比心][比心]
和氣生財（許）,湖南,2024-07-22 21:34:48,军儿，如果你用这个照片当头像，我就提一辆小米su7[呲牙][呲牙][呲牙][呲牙]
李鸿章,河北,2024-07-22 21:33:22,雷总，这是出的新车吗？
千百度,河北,2024-07-22 21:29:11,雷总，我改的可以吗？我不舍得的拿自己车漂移，用你的漂一下吗[尬笑][捂脸]
脆皮芝士片（穿搭日记）,广东,2024-07-22 21:26:21,军儿，如果你用这个照片当头像，我就提一辆小米su7[看][看]
MHsirM,河南,2024-07-22 21:07:53,雷总好！我与漂移之间可能更多的是差一辆su7[泣不成声]
小霞℡,贵州,2024-07-22 20:52:52,坐等上映，为了你，从来不去电影院的我破例去一次[看]
我的青春年华,江苏,2024-07-22 20:29:39,"都想不到吧，千亿现金王雷总这么听劝[宕机][宕机]
这样Su7明年的销量目标也都快要完成了[年兽兔][年兽兔]
雷总又双叒叕得砸钱扩建厂区了[大笑][大笑]"
fowufu,山东,2024-07-22 20:11:11,哈哈，就喜欢雷总这样的企业家，说换头像就换了！犹记得本人第一部智能手机是12年买的小米1，可珍惜了，结果在上海火车站候车室被人偷了，用了就两个月那可是当时半个月工资啊！
ltltzzz.      ㅤ  ㅤ,江苏,2024-07-22 19:53:16,军儿，如果你用这个照片当头像，就给我买一辆小米su7[OK]
顺风顺水发大财,陕西,2024-07-22 19:52:31,发现雷军还挺听从大家的意见呢，前几天还骑自行车上班呢，现在已经30多万的车，说开就开。
bvvd我吃柠檬,广东,2024-07-22 19:51:19,70km左右来了个极速漂移，坦克都翻了[微笑]
ШΖ,山东,2024-07-22 19:50:38,军哥，如果你用这个照片当头像，你就给我买一辆小米su7怎么样
籽馨丫头,江西,2024-07-22 19:34:42,想来一把已读乱回  你们那热不热啊[微笑][微笑][微笑][微笑][微笑]
¥小叭叭,浙江,2024-07-22 19:32:26,爸 注意安全
yuan,广东,2024-07-22 19:23:33,看来这互联网是真的赚钱啊，他才玩多久就开上小米su7
今天晴天,山西,2024-07-22 19:22:39,雷总太帅记录一下
～流云~,河南,2024-07-22 19:18:50,拿这个当头像不更帅吗雷总[看]
老baby,上海,2024-07-22 19:00:25,没周杰伦的歌少了点灵魂啊[捂脸]
大大怪,广东,2024-07-22 18:42:45,雷总，啥时候造单人飞行器[看]
ღ东莞.创发广告,广东,2024-07-22 18:41:11,雷总昨天用26健打字还是这个头像，他真的换头像了[玫瑰][玫瑰][玫瑰][玫瑰]
Tong~★,广东,2024-07-22 18:33:06,雷总，进军眼镜行业吧！我一副眼镜400-500没有人觉得真的很贵吗？我是近视加散光
二六子,湖南,2024-07-22 18:29:21,雷总什么时候开拍？
张,陕西,2024-07-22 18:27:35,不让评论了，为啥禁言。。
大力吉老C,广西,2024-07-22 18:25:34,雷总，换这个我买两台[他急了]
三观。,安徽,2024-07-22 18:18:08,你是不是轮胎生产多了
win,四川,2024-07-22 18:08:56,心疼雷总的（头发）
Cｈ é ｎΚǎｉ,广东,2024-07-22 18:08:46,都说要让雷总换头像，现在头像换好了准备买车吧。[泪奔]
不算太远,四川,2024-07-22 18:04:12,阿军，你用这个照片当头像，我就买一辆小米su7[微笑]
haihaoaiziji0220,河北,2024-07-22 17:51:08,雷总头像换了，太宠粉了吧
大尚麻麻,上海,2024-07-22 17:45:04,雷总，什么时候上映
韩老魔,福建,2024-07-22 17:41:24,"交警：谁教你在路上漂移的？
我：雷军..."
陆陆爱弹琴,贵州,2024-07-22 17:12:20,请问这车喝的几号汽油？冒这么大烟。
自荣蛋糕,云南,2024-07-22 17:07:53,哎呀，哎呀呀呀！
远哥,湖北,2024-07-22 17:04:00,用这个做头像我就买一辆
荷岸.,宁夏,2024-07-22 17:03:42,雷总 我在大街上漂了两下说是你教的 现在扣分罚款把你驾照拿来扣下分[流泪]
阿豪,江苏,2024-07-22 16:58:12,你把车玩坏了，无所谓，你有很多车，我车是贷款买的，你觉得我舍得这样玩吗，我把车玩坏了，就真的没有车了，[捂脸][捂脸][捂脸][捂脸]
大大怪将军ㅤㅤ  ㅤ  ㅤㅤ,安徽,2024-07-22 16:22:45,雷总 什么时候量产[不失礼貌的微笑]
薇香缘兮,江苏,2024-07-22 16:12:24,"兰博基尼：我剪刀门
迈凯伦：我蝴蝶门
帕加尼：我鸥翼门
小米：我雷总亲自开门[看]"
小米零食甄选,广东,2024-07-22 16:09:48,我带雷总玩漂移[害羞]
嘎嘎快乐,江苏,2024-07-22 16:01:35,解释一下，这个大家都在搜是什么？[看]
xf君初见,江苏,2024-07-22 16:01:25,坏了，他在尝试教会我[微笑]，我还在学驾照如果我用教练车怎么玩儿？教练会不会揍我？[捂脸][捂脸][捂脸]
不知名的王友,黑龙江,2024-07-22 15:29:56,这人什么身份[发呆]，给小米代言[看]
Z_BY^,广东,2024-07-22 15:24:33,雷总，什么时候上映
贝贝丫,广东,2024-07-22 14:58:41,军啊 要扣你工资啊。不要老是油门 油门。要说电门 电门 ！
S.Lee,江苏,2024-07-22 14:57:25,"雷总，听说祈愿就能得到一辆su7,是真的么？（结婚缺辆车）[泣不成声][泣不成声][泣不成声]"
微胖界的钓鱼王,浙江,2024-07-22 14:55:25,你帮忙解释一下。为什么戴头盔。你在害怕什么[大笑][大笑][大笑][大笑][大笑]
大猪杯子,江苏,2024-07-22 14:44:29,你有那么多粉丝，为什么不开直播带货啊，一个月高低能挣3—5万[灵机一动]
孤单旅途,浙江,2024-07-22 14:41:45,不是纯电动吗？咋还冒烟呢？
一枝草🌱一點露💧,福建,2024-07-22 14:38:31,漂移就漂移，怎么锂电池还冒烟了？
无一,安徽,2024-07-22 14:36:22,[宕机]？
小不~点,广东,2024-07-22 14:33:49,你家自己  生产  车  想怎么玩就这么我  我们呢  玩坏了  就真的坏了   你真环[捂脸][捂脸][捂脸]
无锡德布莱尔系统门窗批发厂家,江苏,2024-07-22 14:22:08,雷总：我想给你养老 [捂脸][捂脸]
饺子妹妹,江西,2024-07-22 13:54:57,屁股冒黑烟了，这是油车还是电车？
%,云南,2024-07-22 13:41:04,学会了 就差一台su7
涵涵,湖南,2024-07-22 13:05:30,雷总学聪明了，知道拉赞助打广告了[赞][赞][赞]
梦幻之狼,浙江,2024-07-22 12:56:38,"学会了，车翻了
雷总陪我一辆小米SU7"
柠檬先生ぉ,广东,2024-07-22 12:41:51,雷总，小米手机重新反复重启，就是无法开机，怎么处理这个事情[流泪]一个小时都开不了机
🌈曦曦,广西,2024-07-22 12:38:30,雷神，你能不能造一辆八万以下的车？月薪2800。真的很想拥有一辆自己的车[泪奔]
天书,福建,2024-07-22 12:11:10,雷总终于学聪明了！都知道拉赞助打广告了[赞][赞][赞]
"咃の泠漠,ńīの嗳",浙江,2024-07-22 12:08:39,雷总，我学会了，请问su7在哪里领取？[看][看]
&·婷娃子,四川,2024-08-19 19:48:03,军儿，车上的空调让我来做[灵机一动]
@拐拐教授,四川,2024-07-28 16:19:48,哪位高手能帮忙把图片上边字去掉？我想用这张图片做手机屏保[捂脸]
意暄,江西,2024-07-28 13:04:18,军儿，车上的空调交给姐行不行，行不行，军儿，说句话啊[捂脸]
未来小桃苏,上海,2024-07-27 18:18:40,还得是他[飞吻][飞吻]
前宇,贵州,2024-07-26 21:12:31,军儿，如果你用这个照片当头像，我就买一辆小米su7[OK]
阿璐,浙江,2024-07-25 13:29:20,爸爸，注重安全啊
香菇爆炸头,浙江,2024-07-25 11:01:58,
证人君子,浙江,2024-07-24 21:57:50,我试了确实是要SU7 才能玩[思考]
ㅤ姐姐不服,IP未知,2024-07-24 15:47:35,雷总如果你用这个当头像就给我买一辆Su7怎么样[九转大肠]
千祥兰果,陕西,2024-07-23 22:55:22,雷总真的换头像了，那位你可以买小米su7啦[笑哭][笑哭]
肖予、,陕西,2024-07-23 19:00:19,雷总，如果你用这个照片当头像，就给我买一辆小米su7[OK]
殷宇航,河南,2024-07-23 18:03:20,雷总，作为一个忠实的米粉，汽车我都无脑冲了，但是因为买了一个你们的冰箱是坏的售后让我受伤了，打各种客服投诉都没用，希望雷总能关注一下小米的售后，真的太差经了
沐辰U•ェ•*U,广东,2024-07-23 15:20:56,军儿，如果你用这个来当头像，你就给我买一台小米su7吧
怪 咖,青海,2024-07-23 15:00:27,雷总也是有出息了，都接上广了[捂脸][OK]
被套虚弱的混子,江苏,2024-07-23 13:46:33,军儿，如果你用这个照片当头像，就给我买台小米酥妻[色]
奇趣科学,新疆,2024-07-23 13:19:44,牛逼啊，危险动作，不加任何画面提示，抖音平台也不限量
半口芝士小熊饼🧸,湖北,2024-07-23 13:13:56,雷总按你说的我把车漂翻了[抠鼻]
静与放纵,江苏,2024-07-23 12:48:41,我想买个su7跑滴滴，续航真的高，但是我社会底层人员条件跟不上，失业中[流泪]
云南CFMOTO四轮全地形车,云南,2024-07-23 12:20:54,电门，电门，老雷你严谨一点，你那车有什么油门
下吉牛肉胡辣汤,陕西,2024-07-23 12:12:16,爸，您开车注意安全！[害羞][害羞]
༒遥不可及༒,山东,2024-07-23 11:45:51,雷总就是主打一个听劝打，你们买车的快点下单吧，别瞎发誓
灰色轨迹～,江苏,2024-07-23 11:05:38,雷子这么有诚意，我买不起车，但是我买个小米手机，不过份吧
风轻云淡,河南,2024-07-23 10:22:01,军儿，如果你用这个照片当头像，我就买一辆小米su7[OK]
请越过山丘,湖北,2024-07-23 09:17:41,雷总，这个骂人的店员，怎么解决
洛轩晨（天照）,浙江,2024-07-23 07:28:47,雷总整个小米保险吧[捂脸]再整个小米之家吧[不失礼貌的微笑][不失礼貌的微笑]
野生鱼饼,浙江,2024-07-23 02:14:55,学了一下 我740漂沟里了 你赔我一辆su7！
吕钦扬。,四川,2024-07-23 02:04:07,雷总就是雷总，试问哪个老总会因为条评论换头像的[赞]
释怀·,新疆,2024-07-23 00:47:00,雷总，如果你用这个照片当头像，你就送一辆小米su7 给我[OK]
绘西湖.,江苏,2024-07-23 00:31:20,雷军也是好起来了，都接到小米的广告了，祝雷总越来越好，月入百万[舔屏][舔屏]
西宫结弦,新疆,2024-07-23 00:25:25,雷总，你用这张当头像，就给我买一辆[微笑]
优雅的派大星,河北,2024-07-22 23:40:29,雷总你要用这个头像就给我买一辆小米SU7[看]
🌈鹿屿丶,江西,2024-07-22 23:39:52,我要怎么选[九转大肠]
T、,新疆,2024-07-22 23:20:25,爸，多喝牛奶，补钙[不失礼貌的微笑]
美女不该有太多情绪,上海,2024-07-22 22:49:19,
硬派越野车配件库,云南,2024-07-22 22:49:02,一样的速度，一样的操作，现在。。。。
渝州非船,北京,2024-07-22 22:36:10,电车为什么要叫油门，不是应该叫电门吗？
王哪跑🇨🇳,江苏,2024-07-22 22:35:49,雷总，您什么时候能进军眼镜这个行业？现在配眼镜又贵又不好。随便配一配老贵了，质量嘛也一般，真希望您能投资一下。也让我们近视的人配到一个质量又好，价格又实惠的眼镜。[流泪]
小软还会飞,广东,2024-07-22 22:20:52,无奖问答[宕机]雷总以前头像是怎么样的
罐装,贵州,2024-07-22 22:06:40,雷总，要不咱也涉及涉及卫生巾行业吧，真的很需要又安全又好用又有性价比的卫生巾，女性的必需品真是越来越贵了[流泪][流泪][流泪][流泪][流泪]
昵称已重置,广东,2024-07-22 21:59:35,谢谢你，教练没教我，你教上了
：逗在路上,安徽,2024-07-22 21:48:38,我用740玩漂移
卖女孩的小火柴O_o,江苏,2024-07-22 21:27:56,军儿，你要是肯用这张图当头像，一亿以上随便转我
A錦大炮,湖南,2024-07-22 21:26:08,军儿，听哥一句劝用这张图当头像就买一辆小米su7
通讯设备，olt，服务器，光猫，机顶盒,河南,2024-07-22 21:22:37,军军，车载空调能不能换上姐的，以后咱生产出来的车就用米格-xx作为代号，高端大气上档次
浛,内蒙古,2024-07-22 21:17:36,请问雷总是怎么做到又年轻又能理解年轻人的[流泪]
一万吨的猫㉿,浙江,2024-07-22 21:16:54,祝你月入过万雷总
澂锎,北京,2024-07-22 21:13:38,不愧是雷总啊，好家伙，一个差评都没有
孤独的狼,江苏,2024-07-22 20:59:59,我立志成为下一个雷军！！！10年后再看！
🌈江南第一深情,浙江,2024-07-22 20:58:04,"雷总,如果用这个图片当头像,就给我买一辆小米su7[看][看][看]"
氼👀,安徽,2024-07-22 19:59:24,第一次学漂移居然是百万老总教我的[奸笑][奸笑]
……A,浙江,2024-07-22 19:53:17,这个还是算了，怕一些小年轻在街头漂移就麻烦
两空格,浙江,2024-07-22 19:36:08,军儿，如果你用这个照片当头像，我就买一辆小米su7[OK]@
星河 　　　　　　　　  🪳,湖北,2024-07-22 19:31:54,雷冖，你的车我开走了[调皮]
没有牛蛙牛没有库里酷,广东,2024-07-22 19:21:37,雷总你好！视频中的你很酷😎请问小米能不能考虑一下研发近视手术的那些机器，把近视手术价格打下来[呲牙][呲牙][呲牙][耶]
@天猫,广西,2024-07-22 19:19:58,雷总，我用佳能给你记录下来了
小诚,湖北,2024-07-22 19:15:38,买了，雷总
Tsering,甘肃,2024-07-22 19:06:55,雷总，你不把这头像换的话我就不买小米su7
泡椒鸡爪BSU,安徽,2024-07-22 18:38:40,小米羽毛球，求求了。
裂化汽水,江西,2024-07-22 18:26:39,哪个天才搜的[捂脸]
中豪车品,安徽,2024-07-22 18:20:36,后面那个白白的烟是什么，这个不是电车吗？
Ddyyy,泰国,2024-07-22 18:11:25,雷叔，我听说您没有儿子，我的父母也健在，如果您不嫌弃的话，我想给您养老。
南京华狮影视-公司宣传片/路演片/短视频,安徽,2024-07-22 18:11:18,雷总，我学会了，车在哪领？
陀螺,江苏,2024-07-22 17:57:43,雷总，你哪来的油门，油门你有啊[捂脸]
顾词,湖南,2024-07-22 17:55:34,希望雷总事事顺心，年入百万
骑兵,安徽,2024-07-22 17:23:02,军 姐也想玩飘逸
龍星魂,云南,2024-07-22 17:20:43,电车哪来的尾气油烟？[捂脸]
健康是福YELLOW_MH（开心快乐）,云南,2024-07-22 17:10:05,学聪明了！都知道拉赞助打广告了[赞][赞][赞][赞][赞]
小杨.,浙江,2024-07-22 17:01:36,雷总，听说你没有儿子，不嫌弃的话我想给您养老
周什么,陕西,2024-07-22 16:58:38,军哥 如果你换这个头像你就送我一辆小米su7
路幽花香,重庆,2024-07-22 16:58:22,漂移  这算不算教唆交通事故啊！ 其它驾驶员发布视频可以理解这好玩 找刺激  车企宣传让车主漂移[666][赞]
牛明,福建,2024-07-22 16:41:32,这张用作头像吧，太帅了，啊哟ok?[看]
花万里,山东,2024-07-22 16:34:04,叔，不用宣传了，有钱了一定买，咱公司还招Java全栈开发工程师吗[逞强落泪]
久霖@,江西,2024-07-22 16:26:59,学废了
本本本,河南,2024-07-22 16:20:22,祝雷总年入百万[泣不成声]
卖重卡的表哥,新疆,2024-07-22 16:17:57,雷销售，请你交200块轮胎磨损的费用。
罗慢慢,四川,2024-07-22 16:16:04,叔 小米卫生巾求求了
&&&,河南,2024-07-22 16:11:53,咋能跟你比啊，你一个车开坏了还有无数辆，我就一辆[看]更何况我现在没有[看][看]
格得蓝恩,浙江,2024-07-22 16:08:44,小米帝国，所向披靡[看][看][看][看][看]
瓜西西,北京,2024-07-22 16:08:24,雷总这是混得好了，都接到小米su7的代言了[赞]
于世繁华求淡然,重庆,2024-07-22 16:03:56,你们都等雷军换这个头像才买车，现在是你们好久买车？
橘子同学,河南,2024-07-22 16:00:13,雷老师，漂移学会了，请问车去哪里领[看]
炘炘❤️（石佛寺跑腿代购陪逛）,河南,2024-07-22 15:59:07,雷总，我是做玉石手镯代购的，能告诉给我指导一下怎么才能做起来有流量吗，[九转大肠][九转大肠][九转大肠]
景元,浙江,2024-07-22 15:51:12,雷总能不能帮我催一下，等着暑假里面出去玩几天[捂脸]
见过陈奕迅的Bill,四川,2024-07-22 15:49:45,军哥，小米SU7给你多少广告费
奇奇妈咪,广东,2024-07-22 15:41:55,雷总要不把这个照片当头像吧我觉得挺帅的[流泪]
手心里的宝,湖南,2024-07-22 15:35:00,刚刚试了一下，车现在在沟里，怎么开上来？
LllL,四川,2024-07-22 15:34:50,爸，您慢点，摔着了怎么办，所以我建议您把公司交给我管理吧，您就可以随时漂移了[泣不成声][泣不成声][泣不成声][泣不成声]
我是大帅哥,浙江,2024-07-22 15:34:30,雷总能不能把这个改了
小楠,陕西,2024-07-22 15:18:47,爸 想要一个小米酒店[流泪][流泪]
全能武,北京,2024-07-22 15:10:17,其实还是挺高的，我是说……
富富,河北,2024-07-22 15:06:34,明明是电车，那来的油门？
我的昵称喃,四川,2024-07-22 15:00:07,雷军！雷军！[泣不成声][泣不成声][泣不成声]别说车了！我还买不起！先把口袋打印机上架！我买不到！！！！[泣不成声][泣不成声][泣不成声]
是梦吧,广东,2024-07-22 14:57:07,我叫马红雷总能送我一台吗
尤美吖～,湖北,2024-07-22 14:48:15,雷总，你是天天关注我们说啥吗？有没有好好上班
杨司令,浙江,2024-07-22 14:42:47,[看]
到点吃饭,河南,2024-07-22 14:39:10,军哥这个照片拍的很真实，我帮你保存了 等5年后我去纽约时代广场大屏幕放出来哈哈啊哈哈哈哈
Moon的fans,广西,2024-07-22 14:26:27,爹地，你要注意安全哦
小脾气う,江苏,2024-07-22 14:23:47,雷总大家都在路上玩漂移是什么后果？不良引导
秋名山下的春,湖南,2024-07-22 14:07:20,用电的还能冒烟[捂脸][赞] 什么逻辑
桌饺.,吉林,2024-07-22 14:02:29,[思考]雷总什么时候进军电影圈
永远相信美好的事情即将发生,重庆,2024-07-22 13:50:00,雷总，听说你没有儿子，我想给你养老
Threezusღ,山西,2024-07-22 13:49:07,爸您辛苦了注意安全[比心]
🌈爱笑的乐宝,广东,2024-07-22 13:45:17,真的换头像了[机智]
湘七虫草,西藏,2024-07-22 13:35:41,雷总，不建议这么教学。应该从买SU7的钱从哪里搞开始[捂脸]
陈陌笙,江西,2024-07-22 13:30:22,爸！我生活费快没了
❛‿˂̵✧,广东,2024-07-22 13:03:20,雷总我听懂了，缺台su7来练手
诺无闻,山东,2024-07-22 12:58:57,"中国最厉害的军队排名:
1.空军
2.海军
3.陆军
4.雷军"
宋亚楠,河南,2024-07-22 12:55:18,这对轮胎寿命没影响吗？
可可吖❤️,江苏,2024-07-22 12:53:26,雷总，还有你不会的吗[泣不成声]
布洛芬的太阳,河南,2024-07-22 12:48:14,这不是电车吗？？？哪来的油门？？？
CR9,广西,2024-07-22 12:47:48,雷总，您是真听劝啊[看]
wutong120888999,江苏,2024-07-22 12:47:17,爸爸
Mr.任²⁰²⁴,云南,2024-07-22 12:41:15,雷总要不把这个照片当头像吧我觉得挺帅的[捂脸][捂脸]
终遇你,浙江,2024-07-22 12:41:07,雷爸爸 最近天热 注意防暑
ℒℴѵℯ 𝓢𝓾𝓹𝓮𝓻💫,山东,2024-07-22 12:36:10,雷总，电车哪来的油门啊？
VancL•抖音小店,河南,2024-07-22 12:35:57,这张做头像也挺不错[爱心]
manifold,陕西,2024-07-22 12:31:06,雷总，如果你觉得我帅就把头像换成这个[看]
半截诗,广东,2024-07-22 12:29:15,哎，现在的互联网真是成就了好多人，雷军都能开上小米速七了。[赞][赞][赞]
用户7316275952576,湖北,2024-07-22 12:28:44,雷总车技这么溜，开su7去跑滴滴一天不得赚好几百。[看]
uo,湖南,2024-07-22 12:13:20,雷总，为什么我的小米Note 12 turbo没玩几分钟就发烫了[流泪]
喵先生,广东,2024-07-22 12:11:47,雷冖，你的车我开走了……
爱吃猫的鱼儿,广东,2024-07-22 12:07:14,雷冖，你的车我开走了[捂脸]
真的服了🤪,江苏,2024-08-03 09:28:56,小军，如果你用这个当头像，我就马上买一个小米手机哦
没想好名字,上海,2024-07-31 21:12:31,雷总，给个代言给谢瑜吧，大山里的孩子不容易
无规则自由生,贵州,2024-07-27 11:55:11,小米折叠新玩法[呲牙][呲牙]
前程朤朤,上海,2024-07-26 20:15:08,"雷总,周总刚解释了,你也解释一下呗"
拿铁小新,浙江,2024-07-26 15:50:47,雷总用这个头像就给我买一辆su7[送心][送心][送心]
不一样的花火,山东,2024-07-25 20:36:27,祝雷总年入百万
欢锅🫧,江苏,2024-07-24 21:04:20,雷总，如果您想送我一辆小米su7，就换成这个头像
想归隐山林的帝羽,山东,2024-07-24 18:03:28,做卫生巾，干净卫生的那种[流泪]
香菜火锅,江苏,2024-07-24 15:25:11,雷总也是好起来了，都能接到小米的广告了，看来雷总年入百万不是梦了[吃瓜群众]
菜叶子🍃,IP未知,2024-07-24 15:18:38,雷哥 你把这个换头像 我明天就去买个小米Su7
🌈🌈随和🌈🌈,河南,2024-07-24 13:18:46,雷总，你如果用这个当头像就给我买一辆小米su7[比心]
1224km/s,湖北,2024-07-24 09:39:00,感谢卢总为我提供工作[看]
受气包布布,广东,2024-07-24 08:46:14,[捂脸]一楼 想知道后续
阿西吧,广东,2024-07-23 23:12:47,我想问下漂移失败保修不
用户45130577,广东,2024-07-23 20:05:51,曾经为小米付出一点点[比心]
DESIGNER,广东,2024-07-23 19:47:51,[看][看][看]
锦鲤附体,贵州,2024-07-23 19:01:54,雷总，如果你用这个照片当头像，就给我买一辆小米su7[OK]
超哥哥🍃,四川,2024-07-23 18:54:39,爸爸，什么时候进军摩托车领域呀？想骑小米机车🏍️
还早睡                ╲,江苏,2024-07-23 18:52:52,军儿，你要是想送我一辆su7就换成这个头像[色][色][色][色][色]
完全没有效果,甘肃,2024-07-23 16:23:34,雷总看这个改款帅不帅[看]
